dataset,id,length,msa_depth,msa_neff,base_plddt,base_lddt,base_tm,run_plddt,run_lddt,run_tm,run_ptm,seconds,status
fails,T1137s4,547,5778,3031.3,76.25,0.8,0.34,82.228,0.785,0.308,0.388,137.5,ok
fails,T1137s1,409,4220,1420.3,86.44,0.79,0.41,83.299,0.785,0.359,0.427,114.6,ok
fails,T1137s3,524,4349,2186.1,80.52,0.84,0.41,79.814,0.822,0.427,0.345,120.0,ok
fails,T1137s6,518,6328,2925.9,85.26,0.83,0.41,85.676,0.824,0.404,0.371,130.9,ok
fails,T1114s1,189,483,244.7,80.58,0.81,0.43,77.552,0.742,0.31,0.336,93.7,ok
fails,T1137s2,343,8050,5271.5,86.37,0.84,0.43,87.288,0.83,0.423,0.468,106.0,ok
fails,T1137s5,390,6786,2536.2,85.48,0.83,0.43,86.198,0.826,0.456,0.447,112.0,ok
fails,T1173,204,9376,7593.0,78.16,0.53,0.47,71.976,0.483,0.56,0.48,80.5,ok
fails,T1174,338,8069,6885.4,76.84,0.66,0.56,73.694,0.697,0.49,0.603,104.3,ok
fails,T1157s2,495,22108,17955.9,93.68,0.78,0.64,90.598,0.759,0.711,0.55,128.6,ok
fails,T1121,381,969,613.6,92.08,0.8,0.74,90.828,0.793,0.764,0.628,109.2,ok
fails,T1115,288,20408,10466.6,90.94,0.79,0.75,89.274,0.792,0.733,0.655,89.2,ok
fails,T1180,404,13468,10518.6,93.68,0.83,0.77,93.998,0.808,0.638,0.669,103.4,ok
lowconf,8V1J_A,116,4,2.0,32.3,0.202,0.145,32.022,0.19,0.202,0.201,91.6,ok
lowconf,4ZKQ_A,412,2,1.0,25.36,0.145,0.175,25.508,0.182,0.234,0.227,110.8,ok
lowconf,7ZKD_A,88,4,4.0,41.68,0.277,0.202,41.602,0.302,0.303,0.197,85.8,ok
lowconf,2CME_A,90,15,2.0,44.29,0.313,0.226,37.207,0.297,0.216,0.263,93.3,ok
lowconf,2N7P_A,103,5107,4610.6,47.77,0.302,0.26,81.476,0.479,0.544,0.664,100.8,ok
lowconf,6OEE_A,280,130,50.1,60.25,0.508,0.296,51.957,0.634,0.384,0.383,93.5,ok
lowconf,8FW5_H,117,4,1.4,58.86,0.353,0.3,41.719,0.334,0.286,0.356,100.6,ok
lowconf,7AD5_A,122,3,3.0,41.47,0.327,0.364,42.697,0.273,0.236,0.386,105.3,ok
lowconf,5M86_A,324,87,60.3,51.38,0.449,0.449,81.604,0.711,0.903,0.82,99.0,ok
lowconf,1YDU_A,169,3275,312.6,66.05,0.474,0.456,64.017,0.476,0.458,0.49,99.7,ok
lowconf,7DDQ_X,83,136,55.9,63.44,0.593,0.479,64.46,0.581,0.566,0.328,97.8,ok
lowconf,2GFP_A,375,6659,4630.5,68.41,0.34,0.507,63.912,0.337,0.502,0.638,116.4,ok
lowconf,9SLR_A,73,10,2.3,47.22,0.45,0.525,37.739,0.365,0.376,0.249,92.4,ok
lowconf,1ZW8_A,64,5010,2579.5,66.91,0.612,0.581,79.865,0.667,0.757,0.601,85.0,ok
lowconf,2MJM_A,96,306,34.1,60.53,0.583,0.693,71.021,0.611,0.724,0.573,88.6,ok
lowconf,8Q66_B,246,20,13.6,59.35,0.634,0.719,71.729,0.689,0.587,0.64,99.9,ok
lowconf,5A98_A,248,7,6.0,67.32,0.671,0.733,60.024,0.608,0.7,0.652,91.8,ok
lowconf,5MQC_A,280,53,33.5,67.38,0.616,0.771,42.818,0.402,0.432,0.429,29.6,ok
lowconf,8Z11_F,206,6062,3002.2,65.52,0.662,0.773,66.902,0.654,0.751,0.533,95.3,ok
lowconf,2MP4_A,156,4935,1959.1,69.54,0.6,0.781,65.942,0.59,0.771,0.601,87.9,ok
lowconf,6Z5S_W,102,11,1.1,57.44,0.607,0.787,55.874,0.515,0.64,0.341,95.4,ok
lowconf,7JZJ_A,284,28,11.7,64.81,0.63,0.788,48.123,0.504,0.556,0.456,95.7,ok
lowconf,6CFW_F,148,6434,2697.0,62.36,0.669,0.805,85.989,0.751,0.889,0.783,88.8,ok
lowconf,6RIM_A,475,27,16.3,62.24,0.585,0.819,51.123,0.499,0.743,0.641,125.0,ok
lowconf,2WBV_A,188,81,46.6,67.42,0.639,0.832,84.322,0.858,0.954,0.836,88.7,ok
